cust_id,cntr_id,weight,strata,treatment,caller,date_called,call_status,planted_acres,yield_bags,fert_bags,yield_rate,yield_lost,reason,yield_max_bags,sold_bags,sold_price,notes,call_count
206437,50074,0.1530054645,2,grp_none,Hurmat,2019-12-24,connected,20,28,22,very poor,3/4,drought after flowering,100,10,130,There was no rainfall for 3 weeks during the flowering stage. Though it was raining in the town but it did not rain on the farm.,
203984,49611,0.1530054645,2,grp_none,Hurmat,2020-01-31,connected,6,32,12,average,1/2,other,60,20,100,The fertilizer was not enough,
204041,49598,0.1530054645,2,grp_none,Hurmat,2019-12-24,failed,,,,"","","",,,,"",
202114,48894,0.1530054645,2,grp_none,Hurmat,2019-12-31,connected,23,,46,poor,none,drought after flowering,200,0,0,"I have not harvested yet, but the maize was affected by drought",
205035,48937,0.1530054645,2,grp_none,Hurmat,2019-12-24,connected,3,11.5,6,very poor,2/3,drought before flowering,33,11,100,"",
207175,50811,0.1530054645,2,grp_none,Hurmat,2019-12-31,connected,10,,27,"",none,drought after flowering,150,0,0,"I have not harvested yet, but the maize was affected by drought",
207168,50807,0.1530054645,2,grp_none,Hurmat,2019-12-23,connected,4,8,3,very poor,2/3,drought after flowering,24,0,0,yet to put in bags,
202958,50784,0.1530054645,2,grp_none,Hurmat,2019-12-23,failed,,,,"","","",,,,"",
203986,48370,0.1530054645,2,grp_none,Hurmat,2019-12-31,connected,2,12,0,good,none,no fertilizer,20,5,100,"",
202618,49903,0.1530054645,2,grp_none,Hurmat,2019-12-23,failed,,,,"","","",,,,"",
204208,48367,0.1530054645,2,grp_none,Hurmat,2019-12-23,connected,,,,"","","",,,,"Busy now, will call back later",
202604,50370,0.1530054645,2,grp_none,Hurmat,2019-12-23,connected,3,,,"","","",30,0,0,"Not harvested yet, planted 3 acres",
206334,50372,0.1530054645,2,grp_none,Hurmat,2019-12-23,connected,3,15,10,poor,1/2,drought before flowering,33,0,0,"Pest also destroyed part of the maize, and the rainfall intensified during the flowing stage, it's possible the rain washed away part of the fertilizer",
205131,50898,0.1530054645,2,grp_none,Hurmat,2019-12-31,connected,2,13,0,poor,1/2,no fertilizer,22,13,110,"",
202082,50080,0.1530054645,2,grp_none,Hurmat,2019-12-23,connected,11,55,15,poor,1/2,drought after flowering,100,30,110,"I divided the farm into two and planted twice, the first part had enough rain but the other part was affected by drought",
205310,49244,0.1530054645,2,grp_none,Hurmat,2019-12-31,connected,4,15,10,very poor,3/4,drought before flowering,70,15,110,"",
205090,48349,0.1666666667,3,grp_paidout,Hurmat,2019-12-23,connected,10,30,10,poor,none,drought after flowering,50,28,120,will renew in January,
203622,49249,0.1666666667,3,grp_paidout,Hurmat,2019-12-31,connected,4,12,4,very poor,3/4,drought after flowering,60,8,110,"",
203185,48928,0.5,4,grp_msg,Hurmat,2019-12-23,connected,4,7,4,poor,3/4,drought after flowering,28,0,0,For feeding,
205862,48213,0.1535087719,5,grp_none,Hurmat,2019-12-31,connected,3,10,0,poor,2/3,no fertilizer,30,0,,Not sold some yet,
207156,50774,0.1535087719,5,grp_none,Hurmat,2019-12-23,connected,,,,"","","",,,,Not harvested yet,
203875,49251,0.1535087719,5,grp_none,Hurmat,2019-12-23,connected,10,40,0,good,none,no fertilizer,46,30,80,"",
202479,50904,0.1535087719,5,grp_none,Hurmat,2019-12-23,connected,4,16,4,poor,1/2,drought after flowering,40,0,0,Still harvesting the maize. I'm not sure the exact  number of bags i will get but i suffered drought.,
203313,49255,0.1535087719,5,grp_none,Hurmat,2019-12-23,connected,2,4,0,average,2/3,drought after flowering,12,0,0,no fertilizer,
204937,49854,0.1535087719,5,grp_none,Hurmat,2019-12-23,connected,2,5,0,good,1/2,no fertilizer,10,0,0,For feeding,
205514,47255,0.1535087719,5,grp_none,Hurmat,2019-12-31,connected,5,10,5,good,none,other,15,0,0,"I  am yet to thrash it. I stored it, i want to add the minor season harvest and thrash it together.",
202904,49778,0.1535087719,5,grp_none,Hurmat,2019-12-23,connected,6,13,0,poor,3/4,no fertilizer,50,0,0,I have not decided the number of bags to be sold yet,
192567,49583,0.1535087719,5,grp_none,Hurmat,2019-12-23,connected,2,4,0,good,1/2,drought after flowering,9,1,250,"",
192718,50661,0.1535087719,5,grp_none,Hurmat,2019-12-23,failed,,,,"","","",,,,"",
200674,50663,0.1535087719,5,grp_none,Hurmat,2019-12-23,failed,,,,"","","",,,,"",
202184,50902,0.1535087719,5,grp_none,Hurmat,2019-12-23,failed,,,,"","","",,,,"",
203837,50653,0.1535087719,5,grp_none,Hurmat,2019-12-23,wrong number,,,,"","","",,,,"He said his name is Solomon, and he does not know this  customer",
207108,50683,0.1535087719,5,grp_none,Hurmat,2019-12-23,failed,,,,"","","",,,,"",
207136,50750,0.1535087719,5,grp_none,Hurmat,2019-12-23,failed,,,,"","","",,,,"",
207150,50761,0.1535087719,5,grp_none,Hurmat,2019-12-23,failed,,,,"","","",,,,"",
207190,50882,0.1535087719,5,grp_none,Hurmat,2019-12-23,failed,,,,"","","",,,,"",
198543,49242,0.1535087719,5,grp_none,Hurmat,2019-12-23,connected,2,4,0,average,1/3,pest/disease,6,0,0,Not sold some yet,
185702,47225,0.1535087719,5,grp_none,Hurmat,2019-12-23,connected,2,0,0,very poor,all,excess rain,8,0,0,"The whlole farm got flooded, i did not get anything at all",
192981,48998,0.1535087719,5,grp_none,Hurmat,2019-12-23,connected,4,5,2,good,1/2,other,10,1,100,"I planted twice, so part of the farm had enough rain but other part was affected by drought during the flowering season",
193073,49596,0.1535087719,5,grp_none,Hurmat,2019-12-23,connected,4,16,4,poor,1/2,drought after flowering,40,0,0,Still harvesting the maize. I'm not sure the exact  number of bags i will get but i suffered drought.,
192815,47146,0.1535087719,5,grp_none,Hurmat,2019-12-31,failed,,,,"","","",,,,"",
192631,47630,0.1535087719,5,grp_none,Hurmat,2019-12-23,connected,2,5,0,poor,3/4,drought after flowering,20,0,0,Not sold some yet,
206321,49755,0.1535087719,5,grp_none,Hurmat,2019-12-31,connected,2,5,0,good,1/2,no fertilizer,12,0,0,Not sold some yet,
205980,48562,0.1535087719,5,grp_none,Hurmat,2019-12-31,connected,6,24,6,poor,none,drought after flowering,50,0,0,Still harvesting the maize. I'm not sure the exact  number of bags i will get but i suffered drought.,
205919,48412,0.1535087719,5,grp_none,Hurmat,2019-12-31,failed,,,,"","","",,,,"",
204926,49898,0.1535087719,5,grp_none,Hurmat,2019-12-31,failed,,,,"","","",,,,"",
205900,48352,0.1535087719,5,grp_none,Hurmat,2019-12-31,failed,,,,"","","",,,,"",
203849,47343,0.1535087719,5,grp_none,Hurmat,2019-12-31,failed,,,,"","","",,,,"",
205769,47647,0.1535087719,5,grp_none,Hurmat,2019-12-31,failed,,,,"","","",,,,"",
205755,47634,0.1535087719,5,grp_none,Hurmat,2019-12-23,connected,14,27,28,good,2/3,pest/disease,80,72,100,It will be very helpful if your company could support us with fertilizer on credit. Many at times  the fertilizer is applied late due to lack of funds to purchase it on time.,
205767,47645,0.1535087719,5,grp_none,Hurmat,2019-12-23,failed,,,,"","","",,,,"",
201952,48993,0.1535087719,5,grp_none,Hurmat,2019-12-23,connected,2,4.5,0,poor,2/3,drought after flowering,14,0,0,For feeding,
202732,46990,0.1535087719,5,grp_none,Hurmat,2019-12-23,connected,3,5,0,poor,3/4,drought after flowering,20,0,0,For feeding,
202397,47203,0.1535087719,5,grp_none,Hurmat,2019-12-31,failed,,,,"","","",,,,"",
205865,48228,0.1785714286,6,grp_paidout,Hurmat,2019-12-31,failed,,,,"","","",,,,"",
205868,48232,0.1785714286,6,grp_paidout,Hurmat,2019-12-31,failed,,,,"","","",,,,"",
205784,47798,0.1785714286,6,grp_paidout,Hurmat,2019-12-23,connected,2,4,0,poor,1/2,drought after flowering,10,0,0,It's for feeding,
187921,49590,0.1785714286,6,grp_paidout,Hurmat,2019-12-23,connected,2,4,0,poor,2/3,drought after flowering,12,0,0,"Yield was not enough, so it's only for feeding",
203751,45423,0.1785714286,6,grp_paidout,Hurmat,2019-12-31,connected,2,3,0,poor,1/2,drought before flowering,6,0,0,Not sold some yet,
173143,49537,0.1550802139,7,grp_msg,Faa-Ilatu,2020-01-08,pending,,,,"","","",,,,"",
194511,48021,0.1550802139,7,grp_msg,Faa-Ilatu,2019-12-31,connected,5,2,4,very poor,1/4,drought after flowering,15,0,0,"",
206062,48865,0.1550802139,7,grp_msg,Faa-Ilatu,2020-01-08,failed,,,,"","","",,,,"",
206316,49726,0.1550802139,7,grp_msg,Faa-Ilatu,2020-01-08,connected,2,4,4,poor,1/4,drought after flowering,20,0,0,"",
196760,48012,0.1550802139,7,grp_msg,Alhassan,2019-12-23,connected,6,21,15,average,1/2,drought after flowering,36,0,0,The farmer said the low yield was as a result of drought and armyworm.,
159485,48146,0.1550802139,7,grp_msg,Faa-Ilatu,2019-12-27,connected,5,7,5,poor,1/3,drought after flowering,28,0,0,"The farmer said yield is not enough, hence is for feeding.",
206524,50250,0.1550802139,7,grp_msg,Alhassan,2019-12-23,connected,1,2,1,average,1/2,drought after flowering,5,0,0,Pets and disease also affect some parts of the farm.,
206542,50272,0.1550802139,7,grp_msg,Faa-Ilatu,2019-12-27,connected,6,11,10,poor,1/3,drought after flowering,30,0,0,The farmer said the low yield was as a result of drought and armyworm.,
185616,49149,0.1550802139,7,grp_msg,Faa-Ilatu,2019-12-24,connected,5,2,8,very poor,1/4,drought after flowering,10,0,0,"The farmer said yield is not enough, hence is for feeding.",
186489,48259,0.1550802139,7,grp_msg,Faa-Ilatu,2020-01-08,failed,,,,"","","",,,,"",
155788,47960,0.1550802139,7,grp_msg,Faa-Ilatu,2019-12-27,connected,9,15,6,very poor,1/4,drought after flowering,35,0,0,The farmer said the low yield was as a result of drought and armyworm.,
59231,47938,0.1550802139,7,grp_msg,Faa-Ilatu,2019-12-27,connected,6,9,6,very poor,1/4,drought before flowering,30,0,0,The farmer said the low yield was as a result of drought and armyworm.,
190639,47953,0.1550802139,7,grp_msg,Alhassan,2020-01-08,failed,,,,"","","",,,,"",
110315,47921,0.1550802139,7,grp_msg,Faa-Ilatu,2019-12-27,connected,4,8,6,poor,1/3,drought after flowering,32,0,0,"The farmer said yield is not enough, hence is for feeding.",
200481,43395,0.1550802139,7,grp_msg,Faa-Ilatu,2020-01-08,failed,,,,"","","",,,,"",
148408,47888,0.1550802139,7,grp_msg,Faa-Ilatu,2019-12-24,connected,6,6,0,poor,1/3,no fertilizer,18,0,0,"Yield is not enough, hence is for consumption only.",
35854,50556,0.1550802139,7,grp_msg,Alhassan,2019-12-30,connected,10,12,4,poor,1/4,drought after flowering,45,2,90,No intercrops. Pets and diseases didn't affect the farm.,
3792,49009,0.1550802139,7,grp_msg,Faa-Ilatu,2020-01-08,failed,,,,"","","",,,,"",
64173,47650,0.1550802139,7,grp_msg,Alhassan,2019-12-24,connected,4,10,5,poor,1/2,drought after flowering,35,0,0,Pets and disease also affect some parts of the farm.,
140157,49163,0.1550802139,7,grp_msg,Faa-Ilatu,2020-01-08,connected,6,20,12,poor,1/2,drought after flowering,43,0,0,"",
121155,47660,0.1550802139,7,grp_msg,Faa-Ilatu,2020-01-08,failed,,,,"","","",,,,"",
186680,47669,0.1550802139,7,grp_msg,Faa-Ilatu,2020-01-08,failed,,,,"","","",,,,"",
118,50178,0.1550802139,7,grp_msg,Alhassan,2019-12-24,connected,1,4,2,average,1/2,drought after flowering,8,0,0,Pets and disease also affect some parts of the farm.,
198525,48978,0.1550802139,7,grp_msg,Alhassan,2019-12-30,connected,2,15,2,poor,1/3,drought after flowering,40,0,0,No intercrops but pets and diseases affected some part of the farm.,
206176,48981,0.1550802139,7,grp_msg,Alhassan,2020-01-08,failed,,,,"","","",,,,"",
206361,49892,0.1550802139,7,grp_msg,Alhassan,2019-12-31,connected,2,7,0,very poor,1/4,drought after flowering,20,0,0,No intercrops. Pets and diseases didn't affect the farm.,
97650,48072,0.1550802139,7,grp_msg,Faa-Ilatu,2020-01-08,connected,10,15,12,very poor,1/4,drought after flowering,150,5,70,Pets and diseases also affected the farm.,
196558,49894,0.1550802139,7,grp_msg,Faa-Ilatu,2020-01-08,connected,4,3,6,poor,1/4,drought after flowering,15,0,0,Pets and diseases also affected the farm.,
196716,47974,0.1550802139,7,grp_msg,Alhassan,2020-01-08,failed,,,,"","","",,,,"",
175440,47988,0.152238806,8,grp_none,Alhassan,2019-12-24,connected,3,7,7.5,poor,1/3,drought before flowering,21,0,0,Pets affected small part of the farm.,
145951,48635,0.152238806,8,grp_none,Faa-Ilatu,2020-01-08,connected,4,8,4,poor,1/4,drought after flowering,28,0,0,Pets affected small part of the farm.,
146010,48721,0.152238806,8,grp_none,Alhassan,2019-12-24,connected,2,7,7,poor,1/4,other,20,0,0,The farmer couldn't apply the necessary weedicide,
156359,48653,0.152238806,8,grp_none,Alhassan,2019-12-24,failed,,,,"","","",,,,"",
156463,48631,0.152238806,8,grp_none,Faa-Ilatu,2019-12-30,connected,3,4,10,very poor,1/3,drought after flowering,25,0,0,The farmer said the low yield was as a result of drought and armyworm.,
156584,48654,0.152238806,8,grp_none,Faa-Ilatu,2019-12-30,connected,5,8,6,poor,1/3,drought after flowering,21,4,90,The farmer said the low yield was as a result of drought and armyworm.,
183223,48643,0.152238806,8,grp_none,Faa-Ilatu,2019-12-30,connected,5,14,10,average,1/2,drought after flowering,36,0,0,The farmer said the low yield was as a result of drought and armyworm.,
183251,48716,0.152238806,8,grp_none,Faa-Ilatu,2019-12-30,connected,4,25,15,average,2/3,drought after flowering,45,0,0,The farmer said the low yield was as a result of drought and armyworm.,
185113,48719,0.152238806,8,grp_none,Faa-Ilatu,2019-12-30,connected,2,1,0,very poor,all,drought after flowering,17,0,0,The farmer said the poor yield was as a result of drought and lack of fertilizer.,
191258,48722,0.152238806,8,grp_none,Faa-Ilatu,2020-01-08,failed,,,,"","","",,,,"",
185918,48304,0.152238806,8,grp_none,Alhassan,2020-01-08,failed,,,,"","","",,,,"",
185927,48309,0.152238806,8,grp_none,Alhassan,2020-01-08,failed,,,,"","","",,,,"",
173098,49435,0.152238806,8,grp_none,Alhassan,2019-12-24,connected,13,30,14,average,1/2,drought after flowering,60,0,0,Pets and disease also affect some parts of the farm.,
173154,49450,0.152238806,8,grp_none,Alhassan,2020-01-08,failed,,,,"","","",,,,"",
206287,49530,0.152238806,8,grp_none,Alhassan,2019-12-24,connected,6,8,0,poor,1/4,no fertilizer,21,0,0,Pets affected small part of the farm.,
167096,49237,0.152238806,8,grp_none,Alhassan,2020-01-08,failed,,,,"","","",,,,"",
206068,48871,0.152238806,8,grp_none,Faa-Ilatu,2020-01-08,connected,4,37,10,very poor,none,other,37,0,0,"",
174755,50592,0.152238806,8,grp_none,Alhassan,2019-12-24,call back,,,,"","","",,,,"",
206970,50591,0.152238806,8,grp_none,Alhassan,2019-12-27,failed,,,,"","","",,,,"",
140228,48061,0.152238806,8,grp_none,Alhassan,2019-12-31,connected,4,4,0,very poor,1/4,drought after flowering,30,0,0,"No intercrops, pets and diseases in my farm. The poor yield is as a result of drought and lack of fertilizer. ",
183111,48474,0.152238806,8,grp_none,Alhassan,2019-12-27,connected,,,,"","","",,,,This person hapen not to be our customer in our data base.,
4554,50269,0.152238806,8,grp_none,Faa-Ilatu,2020-01-08,connected,2,8,4,average,1/2,drought after flowering,18,0,0,"",
193021,50319,0.152238806,8,grp_none,Alhassan,2019-12-27,connected,1,0.5,0,very poor,3/4,no labor/tractor,6,0,0,Pets affected small part of the farm.,
147472,48155,0.152238806,8,grp_none,Alhassan,2019-12-31,connected,5,12,3,poor,1/4,drought after flowering,40,0,0,No intercrops and didn't encounter any pets and diseses in the farm. The poor yield was as a result of inadequate fertilizer and rainfall in the  farm.,
31,49227,0.152238806,8,grp_none,Alhassan,2019-12-27,connected,5,20,5,very good,1/4,no fertilizer,30,0,0,No intercrops and didn't encounter any pets and diseses in the farm.,
206917,50458,0.152238806,8,grp_none,Faa-Ilatu,2019-12-31,connected,14,53,17,very poor,3/4,drought after flowering,134,21,80,"",
194321,47474,0.152238806,8,grp_none,Faa-Ilatu,2019-12-31,connected,3,2,3,poor,2/3,drought after flowering,17,2,90,"",
25201,48030,0.152238806,8,grp_none,Alhassan,2019-12-30,connected,1,2.5,2,very poor,1/4,drought before flowering,8,0,0,No intercrops but there was diseases that affected some portion of my farm.,
170801,48323,0.152238806,8,grp_none,Alhassan,2019-12-27,connected,3,10,4,average,1/2,drought before flowering,20,0,0,No intercrops in my farm.,
181873,47962,0.152238806,8,grp_none,Faa-Ilatu,2019-12-31,failed,,,,"","","",,,,"",
106640,49656,0.152238806,8,grp_none,Faa-Ilatu,2019-12-31,pending,,,,"","","",,,,"",
206310,49661,0.152238806,8,grp_none,Faa-Ilatu,2019-12-31,failed,,,,"","","",,,,"",
196627,50680,0.152238806,8,grp_none,Alhassan,2019-12-27,connected,4,20,16,average,1/2,drought after flowering,40,10,85,Pets and disease also affect some parts. But there wasn't intercrops in the farm.,
9471,47883,0.152238806,8,grp_none,Alhassan,2019-12-31,connected,3,15,4,average,1/2,pest/disease,25,5,80,Pets and disease also affect some parts of the farm.,
9519,47868,0.152238806,8,grp_none,Faa-Ilatu,2019-12-31,connected,10,90,30,good,3/4,drought after flowering,125,30,80,"",
8755,44709,0.152238806,8,grp_none,Alhassan,2019-12-27,connected,4,12,10,poor,1/3,drought before flowering,30,0,0,Diseases affected some part of the farm.,
187638,50219,0.152238806,8,grp_none,Faa-Ilatu,2020-01-31,pending,,,,"","","",,,,"",
198642,50678,0.152238806,8,grp_none,Alhassan,2019-12-27,connected,9,8,16,very poor,1/4,drought before flowering,40,8,70,Pets and disease also affect some parts of the farm.,
206790,50344,0.152238806,8,grp_none,Alhassan,2019-12-27,connected,1,1,0,very poor,1/4,drought after flowering,4,0,0,No intercrops and didn't encounter any pets and diseses in the farm.,
173289,47998,0.152238806,8,grp_none,Alhassan,2019-12-27,connected,2,2,6,very good,1/4,pest/disease,10,0,0,The farmer said it was pets that destroyed the farm.,
184747,47670,0.152238806,8,grp_none,"","","",,,,"","","",,,,"",
178934,47905,0.152238806,8,grp_none,"","","",,,,"","","",,,,"",
154233,50583,0.152238806,8,grp_none,Alhassan,2019-12-30,connected,2,4.5,4,poor,1/4,drought after flowering,12,0,0,No intercrps or pets and diseases.,
198469,48402,0.152238806,8,grp_none,Faa-Ilatu,2019-12-31,connected,6,12,8,average,1/2,drought after flowering,28,5,80,"",
176598,49029,0.152238806,8,grp_none,Faa-Ilatu,2019-12-31,failed,,,,"","","",,,,Cannot be reached,
179471,50690,0.152238806,8,grp_none,Faa-Ilatu,2019-12-31,connected,6,3,8,very poor,3/4,drought after flowering,29,1,80,"",
207021,50623,0.152238806,8,grp_none,Alhassan,2019-12-30,connected,2,4,2,average,1/2,drought after flowering,8,0,0,Yes there was intercrops in the farm and pets also destroyed some part of the farm.,
106468,50674,0.152238806,8,grp_none,Faa-Ilatu,2019-12-31,failed,,,,"","","",,,,Switched off,
207081,50666,0.152238806,8,grp_none,Faa-Ilatu,2019-12-31,connected,2,3,2,very poor,2/3,drought after flowering,11,0,0,"",
37697,50632,0.152238806,8,grp_none,Faa-Ilatu,2019-12-31,failed,,,,"","","",,,,Switched off,
196557,47972,0.152238806,8,grp_none,Faa-Ilatu,2019-12-30,connected,4,13,8,average,1/2,drought after flowering,25,0,0,I also believe that there was not enough fertilizer.,
3980,49416,0.1514360313,9,grp_paidout,"","","",,,,"","","",,,,"",
173135,49525,0.1514360313,9,grp_paidout,Faa-Ilatu,2019-12-31,failed,,,,"","","",,,,"",
173285,49437,0.1514360313,9,grp_paidout,Faa-Ilatu,2019-12-24,connected,5,2,4,poor,1/3,drought after flowering,25,0,0,I also believe that there was not enough fertilizer.,
174603,49533,0.1514360313,9,grp_paidout,Faa-Ilatu,2019-12-31,failed,,,,"","","",,,,"",
22880,48431,0.1514360313,9,grp_paidout,Faa-Ilatu,2019-12-31,failed,,,,"","","",,,,"",
194508,48020,0.1514360313,9,grp_paidout,Faa-Ilatu,2019-12-31,connected,5,1,4,very poor,3/4,excess rain,15,0,0,My farm were flooded that is why I could not get good yield.,
206069,48872,0.1514360313,9,grp_paidout,Faa-Ilatu,2019-12-24,connected,2,2,0,very poor,3/4,drought after flowering,10,0,0,"",
22965,47761,0.1514360313,9,grp_paidout,Faa-Ilatu,2019-12-24,connected,2,1,3,very poor,2/3,drought after flowering,7,0,0,"",
6828,49209,0.1514360313,9,grp_paidout,Faa-Ilatu,2019-12-31,failed,,,,"","","",,,,"",
8271,49039,0.1514360313,9,grp_paidout,Faa-Ilatu,2019-12-24,connected,2,3,3,poor,1/3,drought after flowering,8,0,0,I also believe that there was not enough fertilizer.,
8298,49042,0.1514360313,9,grp_paidout,Faa-Ilatu,2019-12-31,failed,,,,"","","",,,,"",
8304,49035,0.1514360313,9,grp_paidout,Faa-Ilatu,2019-12-31,failed,,,,"","","",,,,"",
8315,49086,0.1514360313,9,grp_paidout,Faa-Ilatu,2020-01-31,failed,,,,"","","",,,,"",
275,50174,0.1514360313,9,grp_paidout,Faa-Ilatu,2019-12-24,connected,6,7,5,average,1/2,drought after flowering,35,0,0,"Yield is not enough, hence is for consumption only.",
160265,49421,0.1514360313,9,grp_paidout,Faa-Ilatu,2019-12-24,connected,8,11,4,average,1/3,drought after flowering,0,0,0,"Yield is not enough, hence is for consumption only.",
194782,48901,0.1514360313,9,grp_paidout,Faa-Ilatu,2019-12-31,connected,4,13,4,average,1/2,drought after flowering,25,0,0,"",
206075,48885,0.1514360313,9,grp_paidout,Faa-Ilatu,2019-12-31,connected,10,67,0,average,1/2,drought after flowering,115,0,0,"",
82972,48769,0.1514360313,9,grp_paidout,Faa-Ilatu,2019-12-31,connected,,,,"","","",,,,"",
183487,48766,0.1514360313,9,grp_paidout,Faa-Ilatu,2019-12-31,failed,,,,"","","",,,,"",
183657,48607,0.1514360313,9,grp_paidout,Faa-Ilatu,2019-12-31,failed,,,,"","","",,,,"",
183102,48476,0.1514360313,9,grp_paidout,Faa-Ilatu,2019-12-24,connected,5,14,10,average,1/2,drought after flowering,45,90,110,"",
191904,48479,0.1514360313,9,grp_paidout,Faa-Ilatu,2019-12-27,connected,6,14,10,poor,2/3,drought after flowering,26,0,0,"Yield is not enough, hence is for consumption only.",
182308,47478,0.1514360313,9,grp_paidout,Faa-Ilatu,2019-12-27,connected,6,12,8,poor,1/3,drought after flowering,32,0,0,"Yield is not enough, hence is for consumption only.",
206795,50352,0.1514360313,9,grp_paidout,Faa-Ilatu,2019-12-27,connected,4,9,6,poor,1/2,drought after flowering,28,0,0,"Yield is not enough, hence is for consumption only.",
5781,49570,0.1514360313,9,grp_paidout,Faa-Ilatu,2019-12-27,connected,4,12,7,poor,1/2,drought after flowering,35,6,70,"",
206534,50259,0.1514360313,9,grp_paidout,Faa-Ilatu,2019-12-31,connected,4,17,2,average,2/3,no fertilizer,24,0,0,Pets and disease also affect some parts of the farm.,
193014,48087,0.1514360313,9,grp_paidout,Faa-Ilatu,2019-12-27,connected,2,3,4,poor,1/3,drought after flowering,16,0,0,"Yield is not enough, hence is for consumption only.",
5867,50107,0.1514360313,9,grp_paidout,Faa-Ilatu,2019-12-27,connected,3,6,4,average,1/3,drought after flowering,19,0,0,"Yield is not enough, hence is for consumption only.",
206233,49216,0.1514360313,9,grp_paidout,Faa-Ilatu,2019-12-27,connected,10,27,8,poor,1/3,drought after flowering,85,0,0,"",
187815,47872,0.1514360313,9,grp_paidout,Faa-Ilatu,2019-12-27,connected,6,13,6,poor,1/2,drought after flowering,30,0,0,"",
194684,48912,0.1514360313,9,grp_paidout,Faa-Ilatu,2019-12-27,connected,1,2,4,very poor,1/3,other,8,0,0,"Yield is not enough, hence is for consumption only.",
25218,48031,0.1514360313,9,grp_paidout,Faa-Ilatu,2019-12-27,connected,4,10,9,poor,1/3,drought after flowering,40,0,0,"Yield is not enough, hence is for consumption only.",
182345,48810,0.1514360313,9,grp_paidout,Faa-Ilatu,2019-12-27,connected,1,4,0,average,1/2,no fertilizer,8,0,0,"",
181918,48322,0.1514360313,9,grp_paidout,Alhassan,2019-12-30,connected,,,,"","","",,,,The person is not worldcover customer. Contact mismatched.,
59242,47931,0.1514360313,9,grp_paidout,Alhassan,2019-12-30,connected,3,3,0,very poor,1/4,no fertilizer,15,3,70,Yes there was intercrops in the farm.,
56494,49293,0.1514360313,9,grp_paidout,Faa-Ilatu,2019-12-31,connected,5,10,0,poor,1/2,drought after flowering,35,5,160,"",
107172,49653,0.1514360313,9,grp_paidout,Faa-Ilatu,2019-12-31,pending,,,,"","","",,,,No answer,
195139,48804,0.1514360313,9,grp_paidout,Alhassan,2019-12-30,connected,4,12,12,average,1/2,drought after flowering,30,6,80,No intercrops but diseases affected some portion of my farm.,
191549,48171,0.1514360313,9,grp_paidout,Alhassan,2019-12-30,connected,1,5,0,average,1/2,drought after flowering,10,0,0,No intercrops but diseases affected some portion of my farm.,
199875,48007,0.1514360313,9,grp_paidout,Faa-Ilatu,2019-12-31,failed,,,,"","","",,,,Cannaot be reached.,
196496,48772,0.1514360313,9,grp_paidout,Alhassan,2019-12-30,connected,3,8,5,average,1/2,drought after flowering,17,0,0,Pets and disease also affect some parts. But there wasn't intercrops in the farm.,
8780,44703,0.1514360313,9,grp_paidout,Alhassan,2019-12-30,connected,4,3,4,poor,1/4,drought after flowering,20,0,0,No intercrops but diseases affected some portion of my farm.,
187634,50220,0.1514360313,9,grp_paidout,Alhassan,2019-12-30,connected,10,20,11,poor,1/3,drought before flowering,60,0,0,No intercrops and there wasn't pets and diseases in the farm.,
